show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_num,year_added
s11,TV Show,vendetta truth lies and the mafia,not available,not available,unknown,9/24/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",sicily boasts a bold antimafia coalition but what happens when those trying to bring down organized crime are accused of being criminals themselves,1,2021
s12,TV Show,bangkok breaking,kongkiat komesiri,sukollawat kanarot sushar manaying pavarit mongkolpisit sahajak boonthanakit suthipongse thatphithakkul bhasaworn bawronkirati daweerit chullasapya waratthaya wongchayaporn kittiphoom wongpentak abhicha thanachanun nophand boonyai kittipong khamsat arisara wongchalee jaytiya naiwattanakul pantipa arunwattanachai panupan jantanawong kungtap saelim phumphat chartsuriyakiat issara veranitinunt keerati sivakuae panjai sirisuwan supranee charoenpol suda chuenban visaka banhansupavat pitchatorn santinatornkul,unknown,9/23/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",struggling to earn a living in bangkok a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy,1,2021
s13,Movie,je suis karl,christian schwochow,luna wedler jannis niewhner milan peschel edin hasanovi anna fialov marlon boess victor boccard fleur geffrier aziz dyab mlanie fouch elizaveta maximov,germany czech republic,9/23/2021,2021,TV-MA,127 min,"Dramas, International Movies",after most of her family is murdered in a terrorist bombing a young woman is unknowingly lured into joining the very group that killed them,127,2021
s14,Movie,confessions of an invisible girl,bruno garotti,klara castanho lucca picon jlia gomes marcus bessa kiria malheiros fernanda concon gabriel lima caio cabral leonardo cidade jade cardozo,unknown,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies",when the clever but sociallyawkward tet joins a new school shell do anything to fit in but the queen bee among her classmates has other ideas,91,2021
s15,TV Show,crime stories india detectives,not available,not available,unknown,9/22/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations,1,2021
s16,TV Show,dear white people,not available,logan browning brandon p bell deron horton antoinette robertson john patrick amedori ashley blaine featherson marque richardson giancarlo esposito,united states,9/22/2021,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",students of color navigate the daily slights and slippery politics of life at an ivy league college thats not nearly as postracial as it thinks,4,2021
s17,Movie,europes most dangerous man otto skorzeny in spain,pedro de echave garca pablo azorn williams,not available,unknown,9/22/2021,2020,TV-MA,67 min,"Documentaries, International Movies",declassified documents reveal the postwwii life of otto skorzeny a close hitler ally who escaped to spain and became an adviser to world presidents,67,2021
s18,TV Show,falsa identidad,not available,luis ernesto franco camila sodi sergio goyri samadhi zendejas eduardo yez sonya smith alejandro camacho azela robinson uriel del toro graldine bazn gabriela roel marcus ornellas,mexico,9/22/2021,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drugdealing enemies and her abusive husband,2,2021
s19,Movie,intrusion,adam salky,freida pinto logan marshallgreen robert john burke megan elisabeth kelly sarah minnich hayes hargrove mark sivertsen brandon fierro antonio valles clint obenchain,unknown,9/22/2021,2021,TV-14,94 min,Thrillers,after a deadly home invasion at a couples new dream house the traumatized wife searches for answers  and learns the real danger is just beginning,94,2021
s20,TV Show,jaguar,not available,blanca surez ivn marcos scar casas adrin lastra francesc garrido stefan weinert julia mller alicia chojnowski,unknown,9/22/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",in the 1960s a holocaust survivor joins a group of selftrained spies who seek justice against nazis fleeing to spain to hide after wwii,1,2021
s21,TV Show,monsters inside the 24 faces of billy milligan,olivier megaton,not available,unknown,9/22/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",in the late 1970s an accused serial rapist claims multiple personalities control his behavior setting off a legal odyssey that captivates america,1,2021
s22,TV Show,resurrection ertugrul,not available,engin altan dzyatan serdar gkhan hlya darcan kaan taaner esra bilgi osman soykut serdar deniz cengiz cokun reshad strik hande suba,turkey,9/22/2021,2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",when a good deed unwittingly endangers his clan a 13thcentury turkish warrior agrees to fight a sultans enemies in exchange for new tribal land,5,2021
s23,Movie,avvai shanmughi,ks ravikumar,kamal hassan meena gemini ganesan heera rajgopal nassar sp balasubrahmanyam,unknown,9/21/2021,1996,TV-PG,161 min,"Comedies, International Movies",newly divorced and denied visitation rights with his daughter a doting father disguises himself as a grayhaired nanny in order to spend time with her,161,2021
s24,Movie,go go cory carson chrissy takes the wheel,alex woo stanley moore,maisie benson paul killam kerry gudjohnsen ac lim,unknown,9/21/2021,2021,TV-Y,61 min,Children & Family Movies,from arcade games to sled days and hiccup cures cory carsons curious little sister chrissy speeds off on her own for fun and adventure all over town,61,2021
s25,Movie,jeans,s shankar,prashanth aishwarya rai bachchan sri lakshmi nassar,india,9/21/2021,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",when the father of the man she loves insists that his twin sons marry twin sisters a woman creates an alter ego that might be a bit too convincing,166,2021
s26,TV Show,love on the spectrum,not available,brooke satchwell,australia,9/21/2021,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",finding love can be hard for anyone for young adults on the autism spectrum exploring the unpredictable world of dating is even more complicated,2,2021
s27,Movie,minsara kanavu,rajiv menon,arvind swamy kajol prabhu deva nassar sp balasubrahmanyam girish karnad,unknown,9/21/2021,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",a tangled love triangle ensues when a man falls for a woman studying to become a nun  and she falls for the friend he enlists to help him pursue her,147,2021
s28,Movie,grown ups,dennis dugan,adam sandler kevin james chris rock david spade rob schneider salma hayek maria bello maya rudolph colin quinn tim meadows joyce van patten,united states,9/20/2021,2010,PG-13,103 min,Comedies,mourning the loss of their beloved junior high basketball coach five middleaged pals reunite at a lake house and rediscover the joys of being a kid,103,2021
s29,Movie,dark skies,scott stewart,keri russell josh hamilton jk simmons dakota goyo kadan rockett lj benet rich hutchman myndy crist annie thurman jake brennan,united states,9/19/2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",a familys idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat,97,2021
s30,Movie,paranoia,robert luketic,liam hemsworth gary oldman amber heard harrison ford lucas till embeth davidtz julian mcmahon josh holloway richard dreyfuss angela sarafyan,united states india france,9/19/2021,2013,PG-13,106 min,Thrillers,blackmailed by his companys ceo a lowlevel employee finds himself forced to spy on the bosss rival and former mentor,106,2021
s31,Movie,ankahi kahaniya,ashwiny iyer tiwari abhishek chaubey saket chaudhary,abhishek banerjee rinku rajguru delzad hiwale kunal kapoor zoya hussain nikhil dwivedi palomi ghosh,unknown,9/17/2021,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",as big city life buzzes around them lonely souls discover surprising sources of connection and companionship in three tales of love loss and longing,111,2021
s32,TV Show,chicago party aunt,not available,lauren ash rory omalley rupaul charles jill talley ike barinholtz jon barinholtz matthew craig bob odenkirk mike hagerty katie rich chris witaske,unknown,9/17/2021,2021,TV-MA,1 Season,TV Comedies,chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood  and a soft spot for her soulsearching nephew,1,2021
s33,TV Show,sex education,not available,asa butterfield gillian anderson ncuti gatwa emma mackey connor swindells kedar williamsstirling alistair petrie,united kingdom,9/17/2021,2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",insecure otis has all the answers when it comes to sex advice thanks to his therapist mom so rebel maeve proposes a school sextherapy clinic,3,2021
s34,TV Show,squid game,not available,lee jungjae park haesoo wi hajun oh youngsoo jung hoyeon heo sungtae kim jooryoung tripathi anupam you seongjoo lee youmi,unknown,9/17/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",hundreds of cashstrapped players accept a strange invitation to compete in childrens games inside a tempting prize awaits  with deadly high stakes,1,2021
s35,TV Show,tayo and little wizards,not available,dami lee jason lee bommie catherine han jennifer waescher nancy kim,unknown,9/17/2021,2020,TV-Y7,1 Season,Kids' TV,tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone,1,2021
s36,Movie,the father who moves mountains,daniel sandu,adrian titieni elena purea judith state valeriu andriu tudor smoleanu virgil aioanei radu botar petronela grigorescu bogdan nechifor cristian bota,unknown,9/17/2021,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",when his son goes missing during a snowy hike in the mountains a retired intelligence officer will stop at nothing  and risk everything  to find him,110,2021
s37,Movie,the stronghold,cdric jimenez,gilles lellouche karim leklou franois civil adle exarchopoulos kenza fortas cyril lecomte michal abiteboul idir azougli vincent darmuzey jeanyves berteloot,unknown,9/17/2021,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",tired of the smalltime grind three marseille cops get a chance to bust a major drug network but lines blur when a key informant makes a big ask,105,2021
s38,TV Show,angry birds,not available,antti pkknen helj heikkinen lynne guaglione pasi ruohonen rauno ahonen,finland,9/16/2021,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",birds red chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal,1,2021
s39,Movie,birth of the dragon,george nolfi,billy magnussen ron yuan qu jingjing terry chen vanness wu jin xing philip ng xia yu yu xia,china canada united states,9/16/2021,2017,PG-13,96 min,"Action & Adventure, Dramas",a young bruce lee angers kung fu traditionalists by teaching outsiders leading to a showdown with a shaolin master in this film based on real events,96,2021
s40,TV Show,chhota bheem,not available,vatsal dubey julie tejwani rupa bhimani jigna bhardwaj rajesh kava mousam swapnil,india,9/16/2021,2021,TV-Y7,3 Seasons,Kids' TV,a brave energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil,3,2021
s41,TV Show,heman and the masters of the universe,not available,yuri lowenthal kimberly brooks antony del rio trevor devall ben diskin grey griffin david kaye tom kenny judy alice lee roger craig smith fred tatasciore,united states,9/16/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull  and their destiny to defend eternia from sinister skeletor,1,2021
s42,Movie,jaws,steven spielberg,roy scheider robert shaw richard dreyfuss lorraine gary murray hamilton carl gottlieb jeffrey kramer susan backlinie jonathan filley ted grossman,united states,9/16/2021,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",when an insatiable great white shark terrorizes amity island a police chief an oceanographer and a grizzled shark hunter seek to destroy the beast,124,2021
s43,Movie,jaws 2,jeannot szwarc,roy scheider lorraine gary murray hamilton joseph mascolo jeffrey kramer collin wilcox paxton ann dusenberry mark gruner barry coe susan french,united states,9/16/2021,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",four years after the last deadly shark attacks police chief martin brody fights to protect amity island from another killer great white,116,2021
s44,Movie,jaws 3,joe alves,dennis quaid bess armstrong simon maccorkindale louis gossett jr john putch lea thompson ph moriarty dan blasko liz morris lisa maurer,united states,9/16/2021,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",after the staff of a marine theme park try to capture a young great white shark they discover its mother has invaded the enclosure and is out for blood,98,2021
s45,Movie,jaws the revenge,joseph sargent,lorraine gary lance guest mario van peebles karen young michael caine judith barsi mitchell anderson lynn whitfield,united states,9/16/2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",after another deadly shark attack ellen brody has had enough of amity island and moves to the caribbean  but a great white shark follows her there,91,2021
s46,Movie,my heroes were cowboys,tyler greco,not available,unknown,9/16/2021,2021,PG,23 min,Documentaries,robin wiltshires painful childhood was rescued by westerns now he lives on the frontier of his dreams training the horses he loves for the big screen,23,2021
s47,Movie,safe house,daniel espinosa,denzel washington ryan reynolds vera farmiga brendan gleeson sam shepard rubn blades nora arnezeder robert patrick liam cunningham joel kinnaman,south africa united states japan,9/16/2021,2012,R,115 min,Action & Adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house thats come under attack and get him to a securer location,115,2021
s48,TV Show,the smart money woman,bunmi ajakaiye,osas ighodaro ini dimaokojie kemi lala akindoju toni tones ebenezer eno eso okolocha dike patrick diabuah karibi fubara temisan emmanuel timini egbuson,unknown,9/16/2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",five glamorous millennials strive for success as they juggle careers finances love and friendships based on arese ugwus 2016 bestselling novel,1,2021
s49,Movie,training day,antoine fuqua,denzel washington ethan hawke scott glenn tom berenger harris yulin raymond j barry cliff curtis dr dre snoop dogg macy gray eva mendes,united states,9/16/2021,2001,R,122 min,"Dramas, Thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentors questionable brand of justice,122,2021
s50,TV Show,castle and castle,not available,richard mofedamijo dakore akande bimbo manuel blossom chukwujekwu deyemi okanlawon etim effiong denola grey duke akintola eku edewor ade laoye anee icha kevin ushi jude chukwuka amanda afolabi,nigeria,9/15/2021,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",a pair of highpowered successful lawyers find themselves defending opposite interests of the justice system causing a strain on their happy marriage,2,2021
s51,TV Show,dharmakshetra,not available,kashmira irani chandan anand dinesh mehta ankit arora pushkar goggiaa anjali rana aarya dharmchand kumar amit behl maleeka ghai,india,9/15/2021,2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",after the ancient great war the god chitragupta oversees a trial to determine who were the battles true heroes and villains,1,2021
s52,Movie,inuyasha the movie 2 the castle beyond the looking glass,toshiya shinohara,kappei yamaguchi satsuki yukino mieko harada koji tsujitani houko kuwashima kumiko watanabe noriko hidaka kenichi ogata toshiyuki morikawa izumi ogami,japan,9/15/2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",with their biggest foe seemingly defeated inuyasha and his friends return to everyday life but the peace is soon shattered by an emerging new enemy,99,2021
s53,Movie,inuyasha the movie 3 swords of an honorable ruler,toshiya shinohara,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe ken narita akio otsuka kikuko inoue,japan,9/15/2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons now the evil power of the third sword has been awakened,99,2021
s54,Movie,inuyasha the movie 4 fire on the mystic island,toshiya shinohara,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe noriko hidaka ken narita cho mamiko noto nobutoshi canna,japan,9/15/2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",ai a young halfdemon who has escaped from horai island to try to help her people returns with potential saviors inuyasha sesshomaru and kikyo,88,2021
s55,Movie,inuyasha the movie affections touching across time,toshiya shinohara,kappei yamaguchi satsuki yukino koji tsujitani houko kuwashima kumiko watanabe kenichi ogata noriko hidaka hisako kyoda ken narita tomokazu seki,japan,9/15/2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",a powerful demon has been sealed away for 200 years but when the demons son is awakened the fate of the world is in jeopardy,100,2021
s56,TV Show,nailed it,not available,nicole byer jacques torres,united states,9/15/2021,2021,TV-PG,6 Seasons,Reality TV,home bakers with a terrible track record take a crack at recreating edible masterpieces for a 10000 prize its part reality contest part hot mess,6,2021
s57,Movie,naruto shippuden the movie blood prison,masahiko murata,junko takeuchi chie nakamura rikiya koyama kazuhiko inoue masaki terasoma mie sonozaki yuichi nakamura kengo kawanishi kosei hirota masako katsuki,japan,9/15/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",mistakenly accused of an attack on the fourth raikage ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed,102,2021
s58,Movie,naruto shippden the movie bonds,hajime kamegaki,junko takeuchi chie nakamura noriaki sugiyama unsho ishizuka motoko kumai kazuhiko inoue rikiya koyama showtaro morikubo nana mizuki satoshi hino shinji kawada,japan,9/15/2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",when strange ninjas ambush the village of konohagakure its up to adolescent ninja naruto and his longmissing pal sasuke to save the planet,93,2021
s59,Movie,naruto shippden the movie the will of fire,masahiko murata,junko takeuchi chie nakamura kazuhiko inoue satoshi hino showtaro morikubo kentaro ito ryoka yuzuki kohsuke toriumi nana mizuki shinji kawada yoichi masukawa koichi tochika yukari tamura,japan,9/15/2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",when four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land,96,2021
s60,Movie,naruto shippuden the movie,hajime kamegaki,junko takeuchi chie nakamura yoichi masukawa koichi tochika ayumi fujimura keisuke oda daisuke kishio fumiko orikasa hidetoshi nakamura tetsuya kakihara kisho taniyama miyuki sawashiro katsuyuki konishi masako katsuki keiko nemoto masashi ebara kazuhiko inoue showtaro morikubo romi park daisuke ono seizo kato,japan,9/15/2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",the adventures of adolescent ninja naruto uzumaki continue as hes tasked with protecting a priestess from a demon  but to do so he must die,95,2021
s61,Movie,naruto shippuden the movie the lost tower,masahiko murata,junko takeuchi chie nakamura satoshi hino rikiya koyama nobuaki fukuda kenji hamada keiko nemoto saori hayami yumi toma yuko kobayashi fujiko takimoto mutsumi tamura mayuki makiguchi toshiyuki morikawa,japan,9/15/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",when naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil,85,2021
s62,Movie,naruto the movie 2 legend of the stone of gelel,hirotsugu kawasaki,junko takeuchi gamon kaai chie nakamura showtaro morikubo akira ishida yasuyuki kase urara takano sachiko kojima houko kuwashima takako honda,japan,9/15/2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",while on a mission to return a missing pet naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin,97,2021
s63,Movie,naruto the movie 3 guardians of the crescent moon kingdom,toshiyuki tsuru,junko takeuchi chie nakamura yoichi masukawa kazuhiko inoue akio otsuka kyousuke ikeda marika hayashi umeji sasaki masashi sugawara hisao egawa,japan,9/15/2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son hikaru to the crescent moon kingdom,95,2021
s64,Movie,naruto the movie ninja clash in the land of snow,tensai okamura,junko takeuchi noriaki sugiyama chie nakamura kazuhiko inoue yuhko kaida tsutomu isobe hirotaka suzuoki jun karasawa harii kaneko ikuo nishikawa,japan,9/15/2021,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",naruto sasuke and sakura learn theyll be protecting an actress from being hurt while making her next film but it turns out shes a princess,83,2021
s65,Movie,nightbooks,david yarovesky,winslow fegley lidya jewett krysten ritter,unknown,9/15/2021,2021,TV-PG,103 min,Children & Family Movies,scary story fan alex must tell a spinetingling tale every night  or stay trapped with his new friend in a wicked witchs magical apartment forever,103,2021
s66,TV Show,numberblocks,not available,beth chalmers david holt marcel mccalla teresa gallagher,united kingdom,9/15/2021,2021,TV-Y,6 Seasons,Kids' TV,in a place called numberland math adds up to tons of fun when a group of cheerful blocks work play and sing together,6,2021
s67,TV Show,raja rasoi aur anya kahaniyan,not available,not available,india,9/15/2021,2014,TV-G,1 Season,"Docuseries, International TV Shows",explore the history and flavors of regional indian cuisine from traditional kashmiri feasts to the vegetarian dishes of gujarat,1,2021
s68,TV Show,saved by the bell,not available,markpaul gosselaar tiffani thiessen mario lopez lark voorhies elizabeth berkley dustin diamond dennis haskins,united states,9/15/2021,1994,TV-PG,9 Seasons,"Kids' TV, TV Comedies",from middle school to college best friends zack kelly slater jessie screech and lisa take on the highs and lows of life together in this hit series,9,2021
s69,Movie,schumacher,hannsbruno kammertns vanessa ncker michael wech,michael schumacher,unknown,9/15/2021,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",through exclusive interviews and archival footage this documentary traces an intimate portrait of seventime formula 1 champion michael schumacher,113,2021
s70,TV Show,stories by rabindranath tagore,not available,not available,india,9/15/2021,2015,TV-PG,1 Season,"International TV Shows, TV Dramas",the writings of nobel prize winner rabindranath tagore come to life in this collection of tales set in early20thcentury bengal,1,2021
s71,TV Show,too hot to handle latino,not available,itat cantoral,unknown,9/15/2021,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",on this reality show singles from latin america and spain are challenged to give up sex but here abstinence comes with a silver lining us100000,1,2021
s72,Movie,a storybots space adventure,david a vargas,evan spiridellis erin fitzgerald jeff gill fred tatasciore evan michael lee jared isaacman sian proctor chris sembroski hayley arceneaux,unknown,9/14/2021,2021,TV-Y,13 min,Children & Family Movies,join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids questions about space,13,2021
s73,TV Show,jack whitehall travels with my father,not available,jack whitehall michael whitehall,united kingdom,9/14/2021,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",jovial comic jack whitehall invites his stuffy father michael to travel with him through southeast asia in an attempt to strengthen their bond,5,2021
s74,Movie,king of boys,kemi adetiba,sola sobowale adesua etomi remilekun reminisce safaru tobechukwu illbliss ejiofor toni tones paul sambo jide kosoko sharon ooja,nigeria,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies",when a powerful businesswomans political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything,182,2021
s75,TV Show,the worlds most amazing vacation rentals,not available,not available,unknown,9/14/2021,2021,TV-PG,2 Seasons,Reality TV,with an eye for every budget three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series,2,2021
s76,Movie,you vs wild out cold,ben simms,bear grylls jason derek prempeh,unknown,9/14/2021,2021,TV-G,106 min,Children & Family Movies,after a plane crash leaves bear with amnesia he must make choices to save the missing pilot and survive in this highstakes interactive adventure,106,2021
s77,TV Show,yowamushi pedal,not available,daiki yamashita kohsuke toriumi jun fukushima hiroki yasumoto showtaro morikubo kentaro ito daisuke kishio yoshitsugu matsuoka junichi suwabe ayaka suwa megumi han tomoaki maeno tsubasa yonaga tetsuya kakihara satoshi hino hiroyuki yoshino atsushi abe koji yusa kouki miyata hiro shimono wataru hatano yuichi nakamura kenji nojima mamoru miyano daisuke ono yuma uchida jun fukuyama,japan,9/14/2021,2013,TV-14,1 Season,"Anime Series, International TV Shows",a timid animeloving teen gets drawn into a school cycling club where his new friends help him face tough challenges to develop his racing talent,1,2021
s78,Movie,little singham black shadow,prakash satam,sumriddhi shukla jigna bharadwaj sonal kaushal neshma chemburkar ganesh divekar annamaya verma anamay verma manoj pandey,unknown,9/11/2021,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",kid cop little singham loses all his superpowers while trying to stop the demon kaals new evil plans can his inner strength help him defeat the enemy,48,2021
s79,Movie,tughlaq durbar,delhiprasad deenadayalan,vijay sethupathi parthiban raashi khanna,unknown,9/11/2021,2020,TV-14,145 min,"Comedies, Dramas, International Movies",a budding politician has devious plans to rise in the ranks  until an unexpected new presence begins to interfere with his every crooked move,145,2021
s80,Movie,tughlaq durbar telugu,delhiprasad deenadayalan,vijay sethupathi parthiban raashi khanna,unknown,9/11/2021,2021,TV-14,145 min,"Comedies, Dramas, International Movies",a budding politician has devious plans to rise in the ranks  until an unexpected new presence begins to interfere with his every crooked move,145,2021
s81,Movie,firedrake the silver dragon,tomer eshed,thomas brodiesangster felicity jones freddie highmore patrick stewart meera syal sanjeev bhaskar nonso anozie,unknown,9/10/2021,2021,TV-Y7,93 min,Children & Family Movies,when his home is threatened by humans a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free,93,2021
s82,Movie,kate,cedric nicolastroyan,mary elizabeth winstead jun kunimura woody harrelson tadanobu asano miyavi michiel huisman miku martineau,united states,9/10/2021,2021,R,106 min,Action & Adventure,slipped a fatal poison on her final job a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge,106,2021
s83,TV Show,lucifer,not available,tom ellis lauren german kevin alejandro db woodside lesleyann brandt scarlett estevez rachael harris aimee garcia tricia helfer tom welling jeremiah w birkett pej vahdat michael gladis,united states,9/10/2021,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",bored with being the lord of hell the devil relocates to los angeles where he opens a nightclub and forms a connection with a homicide detective,6,2021
